Item Code,Name,Icon URL,Thumbnail URL
"DUN CHAR89","Blue Blossom Heart Charm","https://drive.google.com/drive/folders/1bairuLeatVUprMUGLcEn-iUg_UM6fnOy?usp=drive_link","https://drive.google.com/drive/folders/1bairuLeatVUprMUGLcEn-iUg_UM6fnOy?usp=drive_link"
"DUN CHAR90","Emerald Bloom Charm","https://drive.google.com/drive/folders/109aoFSCJ5PG_c_pfD7DggV-2Zl0fj0Hk?usp=drive_link","https://drive.google.com/drive/folders/109aoFSCJ5PG_c_pfD7DggV-2Zl0fj0Hk?usp=drive_link"
"DUN CHAR91","Blue Rose Oval Charm","https://drive.google.com/drive/folders/1hK49T756BoqJD17v3icbkFAFC7UkMQrO?usp=drive_link","https://drive.google.com/drive/folders/1hK49T756BoqJD17v3icbkFAFC7UkMQrO?usp=drive_link"
"DUN CHAR92","Lavender Wave Charm","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link"
"DUN CHAR93","Flutter Charm","https://drive.google.com/drive/folders/1lmdbPmrfVkxozhGQI1gpMDjRimMDv3rn?usp=sharing","https://drive.google.com/drive/folders/1lmdbPmrfVkxozhGQI1gpMDjRimMDv3rn?usp=sharing"
"DUN CHAR94","Midnight Owl Charm","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link"
"DUN CHAR95","Noir Gem Charm","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link"
"DUN CHAR96","OMG Charm ✨","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link","https://drive.google.com/drive/folders/1yqpSFUq6JjDT6PodjZ2uvB0k4rgL638Q?usp=drive_link"
"DUN CHAR97","Rising Sun Charm","https://drive.google.com/drive/folders/1nvKn6fHfQT5ZSWfbeJMGjxmuZmI8-vGp?usp=sharing","https://drive.google.com/drive/folders/1nvKn6fHfQT5ZSWfbeJMGjxmuZmI8-vGp?usp=sharing"
"DUN CHAR98","Eye Charm","https://drive.google.com/drive/folders/1mxA0V8U1PMAvWxP33LjUOmNBmQHriZve?usp=drive_link","https://drive.google.com/drive/folders/1mxA0V8U1PMAvWxP33LjUOmNBmQHriZve?usp=drive_link"
"DUN CHAR99","Bloom Charm","https://drive.google.com/drive/folders/1dDhyQms_KFmtDM2Y4ip1lJD_Fo-Ejvng?usp=drive_link","https://drive.google.com/drive/folders/1dDhyQms_KFmtDM2Y4ip1lJD_Fo-Ejvng?usp=drive_link"
"DUN-CHAR141","J Initial Charm","https://drive.google.com/file/d/1W7Y71n8aqRhGQ14PdPZk_d7yhIl69GmX/view?usp=drive_link","https://drive.google.com/file/d/1W7Y71n8aqRhGQ14PdPZk_d7yhIl69GmX/view?usp=drive_link"
